"","Platform","Year_of_Release","Genre","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count"
"816","GBA",2001,"Strategy",1.64,0.36,0,0.07,2.07,NA,NA,NA,NA
"817","X360",2009,"Fighting",1.48,0.39,0,0.19,2.06,83,68,7,51
"818","PSP",2010,"Action",0.46,0.41,0.96,0.24,2.06,89,66,8,443
"819","Wii",2010,"Platform",1.42,0.09,0.45,0.1,2.06,NA,NA,NA,NA
"820","Wii",2009,"Misc",1.94,0,0,0.12,2.06,NA,NA,NA,NA
"821","GBA",2005,"Role-Playing",0.71,0.52,0.74,0.08,2.06,NA,NA,NA,NA
"822","GBA",2004,"Action",1.15,0.77,0.04,0.1,2.06,55,13,NA,NA
"823","PS",1998,"Racing",0.68,0.46,0.79,0.13,2.06,88,18,9,21
"824","PSP",2010,"Role-Playing",0.63,0.41,0.75,0.26,2.06,82,62,8,208
"825","X360",2010,"Action",1.2,0.62,0.04,0.19,2.06,NA,NA,NA,NA
"826","PS2",2003,"Fighting",1.06,0.62,0.13,0.25,2.06,92,41,8,120
"827","X360",2007,"Racing",1.04,0.79,0.01,0.21,2.05,72,42,7,78
"828","GC",2002,"Misc",1.47,0.48,0.05,0.06,2.05,75,26,8,41
"829","PS3",2010,"Action",0.6,0.96,0.13,0.36,2.05,NA,NA,NA,NA
"830","X360",2014,"Sports",1.77,0.06,0,0.22,2.05,NA,NA,5,29
"831","PS3",2008,"Racing",0.63,1,0.05,0.38,2.05,59,40,5,71
"832","DS",2010,"Action",0.89,0.94,0.02,0.21,2.05,NA,NA,NA,NA
"833","GEN",1992,"Sports",1.75,0.25,0,0.05,2.05,NA,NA,NA,NA
"834","PS2",2006,"Shooter",1.74,0.02,0,0.28,2.04,72,38,9,34
"835","PS2",2005,"Action",0.71,1.02,0,0.31,2.04,82,41,8,68
"836","PS3",2007,"Racing",0.73,0.91,0.04,0.36,2.04,73,26,6,43
"837","GBA",2003,"Platform",1.2,0.48,0.29,0.07,2.04,78,26,8,53
"838","X360",2011,"Misc",1.45,0.41,0.01,0.16,2.04,86,56,8,63
"839","X360",2007,"Racing",0.48,1.28,0.02,0.25,2.04,NA,NA,NA,NA
"840","N64",1998,"Sports",1.25,0.61,0.13,0.05,2.03,NA,NA,NA,NA
"841","DS",2008,"Misc",1.21,0.63,0,0.19,2.03,48,11,3,4
"842","PS2",2003,"Sports",1.57,0.18,0,0.27,2.03,86,19,7,41
"843","X360",2005,"Shooter",1.82,0.04,0.01,0.16,2.03,89,65,8,307
"844","Wii",2008,"Misc",0.72,1.08,0,0.23,2.03,73,24,7,29
"845","DS",2005,"Role-Playing",1.15,0.04,0.83,0,2.02,62,34,8,97
"846","PS3",2011,"Role-Playing",0.75,0.51,0.54,0.22,2.02,89,54,8,1397
"847","X360",2011,"Misc",1.47,0.39,0,0.16,2.02,70,34,7,17
"848","XOne",2013,"Shooter",1.25,0.58,0,0.19,2.02,81,5,6,480
"849","3DS",2012,"Role-Playing",0.9,0.45,0.54,0.13,2.01,92,72,9,1130
"850","PS3",2011,"Action",0.58,1.04,0.03,0.36,2.01,64,48,6,182
"851","Wii",2014,"Misc",0.99,0.85,0,0.17,2.01,NA,NA,8,5
"852","PS4",2014,"Role-Playing",0.73,0.88,0.08,0.32,2.01,89,43,7,1984
"853","SNES",1993,"Fighting",0.52,0.16,1.29,0.03,2,NA,NA,NA,NA
"854","PS3",2008,"Action",1.05,0.66,0,0.29,2,88,67,8,545
"855","PS3",2008,"Fighting",1.48,0.28,0,0.23,2,76,44,7,107
"856","DS",2007,"Puzzle",0.48,1.27,0,0.24,2,71,19,5,9
"857","PS",1997,"Action",0.95,0.64,0.27,0.13,1.99,87,14,8,45
"858","GB",1989,"Sports",0.75,0.3,0.9,0.04,1.99,NA,NA,NA,NA
"859","GBA",2002,"Action",1.21,0.64,0.05,0.09,1.99,76,11,7,14
"860","DS",2009,"Role-Playing",1.06,0.26,0.53,0.13,1.98,75,53,7,162
"861","PS3",2010,"Sports",0.79,0.88,0,0.32,1.98,80,46,7,82
"862","SNES",1991,"Simulation",0.93,0.27,0.75,0.04,1.98,NA,NA,NA,NA
"863","PS",2002,"Action",0.75,1.09,0.02,0.12,1.98,NA,NA,8,33
"864","PS4",2013,"Racing",0.73,0.92,0.03,0.3,1.98,80,53,6,667
"865","PS2",2002,"Platform",0.74,0.95,0,0.28,1.97,56,20,4,95
"866","PS2",2003,"Action",0.71,0.58,0.51,0.17,1.97,68,40,6,167
"867","2600",1981,"Action",1.84,0.11,0,0.02,1.97,NA,NA,NA,NA
"868","PSP",2004,"Sports",0.5,0.5,0.63,0.33,1.96,81,57,8,34
"869","PSV",2014,"Misc",0.18,0.64,0.9,0.24,1.96,NA,NA,NA,NA
"870","NES",1985,"Sports",0.18,0.23,1.53,0.02,1.96,NA,NA,NA,NA
"871","NES",1986,"Racing",1.13,0.37,0.41,0.05,1.96,NA,NA,NA,NA
"872","X360",2012,"Racing",0.82,0.93,0.04,0.18,1.96,85,83,8,431
"873","X360",2006,"Shooter",1.09,0.65,0.02,0.2,1.95,88,69,8,225
"874","PS2",2003,"Racing",0.74,1.01,0,0.2,1.95,69,24,7,59
"875","X360",2012,"Shooter",1.12,0.6,0.07,0.16,1.95,67,71,5,1407
"876","XB",2005,"Action",1.26,0.61,0,0.09,1.95,93,58,8,118
"877","PC",1994,"Shooter",1.09,0.77,0,0.09,1.95,NA,NA,NA,NA
"878","PS2",2003,"Sports",1.69,0.2,0,0.06,1.95,90,31,8,70
"879","PS2",2003,"Fighting",0.95,0.74,0,0.25,1.94,80,33,8,41
"880","DS",2006,"Platform",0.78,0.02,1.05,0.08,1.94,71,29,8,41
"881","PS3",2008,"Racing",1.01,0.62,0.02,0.29,1.94,87,55,7,455
"882","PC",1999,"Misc",1.94,0,0,0,1.94,NA,NA,NA,NA
"883","GB",1989,"Puzzle",0.96,0.38,0.55,0.05,1.94,NA,NA,NA,NA
"884","PS",2001,"Adventure",0.59,1.23,0,0.13,1.94,NA,NA,7,10
"885","PS3",2010,"Simulation",0.73,0.89,0.02,0.3,1.94,78,39,6,55
"886","X360",2008,"Sports",0.49,1.26,0.01,0.18,1.94,87,51,8,106
"887","PS2",2004,"Fighting",1.09,0.15,0.65,0.04,1.94,77,32,8,137
"888","Wii",2008,"Shooter",1.17,0.58,0,0.18,1.94,83,19,7,78
"889","PS",1997,"Racing",1.41,0.42,0.03,0.07,1.94,NA,NA,NA,NA
"890","PS2",2002,"Shooter",1.42,0.4,0,0.12,1.94,63,18,8,22
"891","X360",2013,"Shooter",1.22,0.54,0.02,0.16,1.93,93,33,8,1647
"892","PS2",2004,"Role-Playing",1,0.72,0,0.21,1.93,79,48,8,69
"893","SNES",1993,"Fighting",1.48,0.39,0,0.06,1.93,NA,NA,NA,NA
"894","SAT",1995,"Fighting",0.34,0.26,1.3,0.03,1.93,NA,NA,NA,NA
"895","X360",2008,"Fighting",1.53,0.23,0,0.16,1.93,72,61,7,87
"896","PS4",2015,"Shooter",0.78,0.79,0.04,0.31,1.93,86,81,6,1079
"897","GB",1998,"Puzzle",1.06,0.6,0.2,0.07,1.93,NA,NA,NA,NA
"898","GB",2001,"Action",0.92,0.53,0.41,0.06,1.92,NA,NA,NA,NA
"899","X360",2014,"Shooter",1.31,0.43,0,0.18,1.92,NA,NA,4,504
"900","PS2",2001,"Shooter",0.76,0.96,0,0.2,1.92,88,25,8,69
"901","PC",2003,"Simulation",1.03,0.8,0,0.09,1.92,80,22,8,31
"902","3DS",2013,"Misc",0.62,0.64,0.55,0.11,1.92,57,47,6,117
"903","PS2",2004,"Racing",0.94,0.73,0,0.25,1.92,80,18,9,46
"904","PS",1996,"Misc",0.26,0.16,1.46,0.03,1.92,92,15,7,48
"905","PS3",2008,"Misc",1.1,0.55,0,0.27,1.92,84,43,7,80
"906","X360",2009,"Racing",0.73,0.96,0.01,0.22,1.91,83,75,6,134
"907","N64",2000,"Misc",0.72,0.16,1.01,0.02,1.91,NA,NA,NA,NA
"908","PS3",2013,"Role-Playing",0.72,0.75,0.15,0.29,1.91,86,43,6,557
"909","PS4",2014,"Platform",0.66,0.93,0.01,0.31,1.91,79,78,7,506
"910","GC",2001,"Simulation",1.03,0.75,0.03,0.09,1.9,90,45,8,80
"911","X360",2013,"Action",0.86,0.84,0.01,0.17,1.89,NA,NA,NA,NA
"912","Wii",2008,"Sports",1.48,0,0.29,0.12,1.89,69,31,7,58
"913","3DS",2013,"Platform",0.74,0.62,0.41,0.13,1.89,NA,NA,NA,NA
"914","Wii",2008,"Misc",0.86,0.83,0,0.2,1.89,70,11,7,17
"915","PS3",2008,"Sports",1.56,0.14,0,0.18,1.88,85,38,4,132
"916","X360",2013,"Action",1.15,0.56,0,0.17,1.88,74,46,7,685
"917","Wii",2008,"Misc",1.28,0.43,0,0.17,1.88,29,7,4,7
"918","PS",1999,"Role-Playing",1.37,0.44,0,0.08,1.88,NA,NA,NA,NA
"919","PS2",2004,"Fighting",0.92,0.72,0,0.24,1.88,81,43,8,90
"920","PS",1999,"Sports",0.25,0.12,1.48,0.03,1.88,NA,NA,NA,NA
"921","PS2",2005,"Shooter",0.89,0.69,0.09,0.21,1.88,NA,NA,NA,NA
"922","PS4",2016,"Sports",1.25,0.27,0.02,0.34,1.88,88,47,6,162
"923","Wii",2009,"Misc",1.04,0.66,0,0.18,1.88,49,15,6,13
"924","PS",1998,"Fighting",1.42,0.36,0.03,0.07,1.88,NA,NA,NA,NA
"925","PS2",2007,"Misc",0.47,0.08,0,1.33,1.87,NA,NA,NA,NA
"926","GC",2002,"Adventure",0.96,0.53,0.3,0.09,1.87,82,39,7,145
"927","PS",1998,"Sports",0.22,1.47,0.04,0.14,1.87,NA,NA,NA,NA
"928","PS3",2013,"Sports",1.6,0.03,0,0.24,1.87,76,19,4,91
"929","PS2",2001,"Action",0.53,0.16,1.07,0.1,1.87,78,17,9,90
"930","GB",2001,"Adventure",0.87,0.52,0.41,0.06,1.86,NA,NA,NA,NA
"931","PS3",2009,"Platform",1.05,0.53,0.03,0.26,1.86,NA,NA,NA,NA
"932","XB",2005,"Sports",1.75,0.03,0,0.08,1.86,86,39,6,41
"933","PS2",2004,"Platform",1.12,0.69,0.03,0.02,1.86,71,32,8,24
"934","N64",1997,"Platform",1.37,0.41,0.04,0.04,1.86,NA,NA,NA,NA
"935","PS",1999,"Role-Playing",0.94,0.44,0.39,0.1,1.86,74,12,8,248
"936","PS2",2004,"Misc",0,1.37,0,0.49,1.86,NA,NA,NA,NA
"937","Wii",2008,"Action",1.11,0.56,0,0.18,1.86,71,18,7,75
"938","PS2",2001,"Sports",0.91,0.71,0,0.24,1.86,70,16,7,8
"939","PS4",2015,"Action",0.47,1.03,0.07,0.28,1.86,73,42,6,403
"940","PS",1999,"Role-Playing",0.62,0.42,0.69,0.12,1.86,94,16,8,297
"941","PS2",2004,"Platform",1.33,0.49,0,0.03,1.85,84,55,8,246
"942","GBA",2004,"Role-Playing",1.26,0.18,0.35,0.06,1.85,76,37,7,84
"943","NES",1984,"Action",0.8,0.19,0.83,0.03,1.85,NA,NA,NA,NA
"944","PS3",2012,"Shooter",0.59,0.89,0.06,0.3,1.85,87,31,7,790
"945","PS2",2001,"Racing",0,1.1,0.42,0.33,1.84,NA,NA,NA,NA
"946","PS3",2013,"Action",0.77,0.76,0.01,0.29,1.84,82,22,7,76
"947","DS",2009,"Action",1.32,0.37,0,0.15,1.84,80,4,4,8
"948","PS2",2005,"Sports",1.53,0.05,0,0.25,1.84,87,25,8,36
"949","N64",1998,"Simulation",0.83,0.06,0.93,0,1.83,NA,NA,NA,NA
"950","Wii",2007,"Misc",0.82,0.82,0,0.2,1.83,67,25,8,66
"951","GBA",2005,"Misc",1.31,0.49,0,0.03,1.83,NA,NA,NA,NA
"952","PS",1996,"Racing",1.33,0.4,0.03,0.07,1.83,NA,NA,NA,NA
"953","3DS",2014,"Platform",0.61,0.34,0.79,0.09,1.83,80,68,8,206
"954","SNES",1993,"Role-Playing",0.25,0.07,1.49,0.02,1.83,NA,NA,NA,NA
"955","Wii",2010,"Action",0.84,0.7,0.13,0.16,1.83,NA,NA,NA,NA
"956","DS",2010,"Platform",0.92,0.73,0,0.17,1.83,70,24,7,28
"957","PS",1995,"Simulation",0.92,0.33,0.52,0.05,1.83,NA,NA,NA,NA
"958","PS4",2014,"Role-Playing",0.51,0.98,0.06,0.28,1.82,NA,NA,NA,NA
"959","PS3",2011,"Action",1.05,0.47,0.08,0.22,1.82,83,90,8,932
"960","PC",2012,"Role-Playing",0.84,0.76,0,0.22,1.82,82,42,4,1265
"961","GEN",1994,"Platform",1.24,0.43,0.03,0.12,1.82,NA,NA,NA,NA
"962","PS2",2001,"Misc",1.73,0.07,0,0.02,1.82,72,9,6,5
"963","PC",2001,"Simulation",1.81,0,0,0,1.82,85,17,7,70
"964","PS3",2009,"Role-Playing",0.97,0.33,0.35,0.17,1.82,89,81,8,1441
"965","X360",2007,"Shooter",1.09,0.53,0.02,0.17,1.82,96,54,8,797
"966","PS2",2003,"Simulation",1.05,0.59,0,0.18,1.81,82,27,8,11
"967","DC",2000,"Racing",1.1,0.51,0.12,0.08,1.81,NA,NA,NA,NA
"968","PS2",2002,"Fighting",0.78,0.44,0.56,0.04,1.81,94,36,8,84
"969","PS4",2016,"Action",0.42,1.08,0.03,0.28,1.81,68,66,5,1147
"970","PS2",2004,"Platform",0.88,0.69,0,0.23,1.81,88,64,9,178
"971","PS2",2008,"Misc",1,0.03,0,0.77,1.8,NA,NA,8,13
"972","GBA",2002,"Platform",0.93,0.59,0.21,0.07,1.8,83,23,8,46
"973","X360",2006,"Sports",1.66,0,0.01,0.13,1.8,80,54,6,148
"974","PS",1999,"Sports",1,0.68,0,0.12,1.8,NA,NA,NA,NA
"975","PS3",2010,"Action",1.41,0.2,0.03,0.16,1.8,89,46,7,105
"976","XOne",2015,"Racing",0.73,0.9,0.03,0.14,1.8,87,85,7,863
"977","PS4",2014,"Action",0.55,0.86,0.11,0.27,1.79,75,65,7,1223
"978","Wii",2007,"Shooter",0.89,0.74,0.07,0.09,1.79,90,62,8,491
"979","WiiU",2013,"Action",0.92,0.6,0.14,0.14,1.79,NA,NA,NA,NA
"980","SNES",1994,"Platform",1.26,0.39,0.08,0.06,1.79,NA,NA,NA,NA
"981","3DS",2011,"Puzzle",0.32,0.97,0.36,0.13,1.79,NA,NA,NA,NA
"982","PS2",2003,"Racing",1.25,0.29,0,0.24,1.78,85,41,8,47
"983","PS",2001,"Action",1.12,0.58,0,0.08,1.78,NA,NA,NA,NA
"984","PS2",2004,"Action",0.39,1.01,0.02,0.36,1.78,57,53,7,47
"985","PS2",2005,"Action",0.85,0.76,0,0.16,1.77,47,21,6,129
"986","SNES",1991,"Role-Playing",0.24,0.09,1.33,0.12,1.77,NA,NA,NA,NA
"987","N64",2000,"Platform",0.63,0.06,1.03,0.04,1.77,NA,NA,NA,NA
"988","XB",2001,"Fighting",1.19,0.29,0.24,0.06,1.77,87,35,8,44
"989","DS",2006,"Role-Playing",0.23,0.02,1.49,0.02,1.76,75,30,7,27
"990","Wii",2011,"Action",1.01,0.6,0,0.15,1.76,76,7,7,10
"991","Wii",2007,"Misc",1.15,0.45,0,0.16,1.76,NA,NA,NA,NA
"992","GB",1991,"Adventure",0.85,0.31,0.56,0.04,1.76,NA,NA,NA,NA
"993","PS",1998,"Fighting",1.27,0.42,0,0.07,1.76,NA,NA,NA,NA
"994","PS3",2009,"Fighting",1.07,0.44,0.01,0.24,1.76,84,58,8,47
"995","PS2",2004,"Platform",1.06,0.54,0,0.16,1.76,75,5,9,54
"996","GBA",2001,"Role-Playing",0.93,0.38,0.4,0.06,1.76,91,29,9,198
"997","GEN",1994,"Platform",1.02,0.47,0.2,0.07,1.76,NA,NA,NA,NA
"998","NES",1986,"Platform",0.53,0.12,1.09,0.02,1.76,NA,NA,NA,NA
"999","PS2",2004,"Fighting",0.86,0.67,0,0.22,1.76,83,46,8,73
"1000","XB",2002,"Shooter",1.23,0.46,0,0.07,1.76,84,29,6,27
"1001","PS2",2002,"Action",0.86,0.67,0,0.22,1.76,71,34,5,33
"1002","GBA",2007,"Action",1.26,0.47,0,0.03,1.76,NA,NA,NA,NA
"1003","PS2",2004,"Simulation",0.52,0.95,0,0.29,1.76,70,25,8,24
"1004","PS2",2001,"Simulation",0.61,0.87,0.02,0.26,1.76,84,25,8,21
"1005","PS",1998,"Sports",1.68,0.04,0,0.04,1.75,NA,NA,NA,NA
"1006","XB",2004,"Shooter",1.24,0.45,0,0.07,1.75,80,55,9,57
"1007","PS2",2001,"Sports",0.06,0.9,0.53,0.27,1.75,NA,NA,NA,NA
"1008","PS4",2016,"Sports",1.25,0.17,0,0.32,1.75,82,35,4,83
"1009","PS3",2010,"Action",0.45,0.92,0.06,0.32,1.75,83,66,8,291
"1010","SNES",1993,"Platform",0.94,0.34,0.21,0.27,1.75,NA,NA,NA,NA
"1011","NES",1993,"Platform",0.79,0.14,0.8,0.02,1.75,NA,NA,NA,NA
"1012","NES",1991,"Puzzle",0.7,0.13,0.91,0.01,1.75,NA,NA,NA,NA
"1013","PS4",2015,"Role-Playing",0.67,0.79,0,0.29,1.75,NA,NA,NA,NA
"1014","PS3",2007,"Sports",0.35,1.06,0.02,0.31,1.75,81,28,7,47
"1015","X360",2007,"Shooter",1,0.53,0.03,0.18,1.75,83,75,8,340
"1016","WiiU",2013,"Misc",0.3,0.56,0.84,0.05,1.75,65,38,6,135
"1017","PS2",2008,"Simulation",0.85,0.66,0.01,0.22,1.75,55,6,6,6
"1018","GBA",2004,"Misc",1.25,0.46,0,0.03,1.75,NA,NA,NA,NA
"1019","PS3",2013,"Role-Playing",0.9,0.35,0.25,0.24,1.74,NA,NA,NA,NA
"1020","PS",1999,"Adventure",0.72,0.89,0.04,0.1,1.74,NA,NA,NA,NA
"1021","PS2",2002,"Role-Playing",0.63,0.49,0.45,0.17,1.74,83,35,8,99
"1022","PS3",2014,"Action",0.56,0.81,0.1,0.27,1.74,NA,NA,5,383
"1023","X360",2012,"Action",1.05,0.52,0.03,0.14,1.74,55,61,3,145
"1024","PS3",2012,"Role-Playing",0.41,0.44,0.72,0.17,1.74,78,38,8,444
"1025","N64",1996,"Racing",1.69,0.04,0,0.01,1.74,NA,NA,NA,NA
"1026","PS",1998,"Sports",1.66,0.04,0,0.04,1.74,NA,NA,NA,NA
"1027","PS4",2015,"Shooter",0.61,0.78,0.06,0.27,1.74,63,94,6,3172
"1028","PS2",2001,"Sports",0.85,0.66,0,0.22,1.73,92,33,8,71
"1029","PS4",2013,"Platform",0.43,0.68,0.42,0.2,1.73,54,83,6,1074
"1030","PS",1998,"Action",1.48,0.2,0,0.05,1.73,NA,NA,NA,NA
"1031","GB",2001,"Action",0.94,0.62,0.1,0.07,1.73,NA,NA,NA,NA
"1032","DS",2010,"Role-Playing",0.2,0.14,1.35,0.03,1.73,78,41,8,31
"1033","GBA",2002,"Platform",0.95,0.7,0,0.08,1.73,78,18,7,27
"1034","X360",2012,"Action",0.68,0.88,0.01,0.17,1.73,79,51,7,453
"1035","PS2",2003,"Action",0.85,0.66,0,0.22,1.72,NA,NA,NA,NA
"1036","PS4",2014,"Racing",0.35,1.08,0.03,0.26,1.72,61,60,5,575
"1037","PS2",2008,"Shooter",0.61,0.18,0,0.94,1.72,NA,NA,NA,NA
"1038","XOne",2014,"Sports",1.37,0.18,0,0.18,1.72,82,9,6,101
"1039","XB",2004,"Sports",1.61,0.03,0,0.08,1.72,91,39,7,26
"1040","PS2",2003,"Role-Playing",0.8,0.21,0.55,0.15,1.72,80,55,7,134
"1041","PC",2011,"Shooter",0.41,0.98,0,0.32,1.72,78,26,2,5664
"1042","X360",2012,"Action",1.06,0.5,0.01,0.14,1.71,88,56,7,815
"1043","PS",1998,"Platform",0.99,0.64,0,0.08,1.71,NA,NA,NA,NA
"1044","Wii",2009,"Misc",1.17,0.39,0,0.15,1.71,89,25,8,43
"1045","PS2",2004,"Simulation",0.88,0.34,0.32,0.18,1.71,84,57,9,81
"1046","XB",2003,"Racing",1.09,0.55,0,0.07,1.71,83,25,8,35
"1047","DS",2006,"Misc",0,0,1.71,0,1.71,NA,NA,NA,NA
"1048","GBA",2001,"Puzzle",1.25,0.39,0,0.06,1.71,65,10,NA,NA
"1049","DS",2008,"Simulation",0.7,0.82,0,0.19,1.71,NA,NA,NA,NA
"1050","X360",2015,"Shooter",1.14,0.4,0,0.16,1.71,NA,NA,NA,NA
"1051","DS",2007,"Misc",1.15,0.4,0,0.15,1.7,20,13,1,41
"1052","PS2",2009,"Sports",0.23,0.24,0,1.23,1.7,NA,NA,8,9
"1053","PS3",2011,"Shooter",0.83,0.6,0.02,0.24,1.7,95,54,8,937
"1054","SNES",1993,"Puzzle",0,0,1.69,0.01,1.7,NA,NA,NA,NA
"1055","PS2",2006,"Sports",1.41,0.05,0,0.23,1.7,87,18,8,23
"1056","PC",2010,"Simulation",0.59,0.87,0,0.23,1.7,74,17,5,77
"1057","PS4",2016,"Action",0.63,0.76,0.03,0.27,1.7,71,94,4,5096
"1058","DS",2007,"Action",0.68,0.82,0,0.19,1.7,NA,NA,NA,NA
"1059","Wii",2009,"Sports",1.58,0,0,0.12,1.69,NA,NA,7,4
"1060","PS2",2005,"Shooter",1.22,0.34,0.04,0.1,1.69,82,59,8,64
"1061","PS3",2013,"Shooter",0.72,0.65,0.04,0.28,1.69,94,27,8,1863
"1062","PS",1999,"Misc",0.94,0.64,0,0.11,1.69,NA,NA,NA,NA
"1063","PS3",2015,"Shooter",0.49,0.87,0.07,0.26,1.69,NA,NA,NA,NA
"1064","N64",1997,"Fighting",1.37,0.28,0.03,0.02,1.69,NA,NA,NA,NA
"1065","PS",1998,"Fighting",1.1,0.48,0.04,0.07,1.69,NA,NA,NA,NA
"1066","GBA",2001,"Action",0.87,0.66,0.08,0.08,1.69,64,8,7,7
"1067","GBA",2002,"Role-Playing",1.52,0.12,0,0.05,1.69,53,15,6,28
"1068","DS",2009,"Simulation",0.79,0.65,0.08,0.17,1.69,NA,NA,NA,NA
"1069","GC",2005,"Action",0.98,0.42,0.22,0.06,1.69,96,82,9,767
"1070","DS",2007,"Puzzle",0.48,1.12,0,0.08,1.69,63,11,NA,NA
"1071","Wii",2009,"Puzzle",1.4,0.16,0,0.12,1.68,37,4,NA,NA
"1072","X360",2008,"Racing",0.79,0.7,0.01,0.18,1.68,64,62,5,104
"1073","PS2",2006,"Misc",0.82,0.64,0,0.22,1.68,NA,NA,NA,NA
"1074","PS",1997,"Sports",1.58,0.06,0,0.04,1.68,NA,NA,NA,NA
"1075","Wii",2010,"Platform",0.92,0.6,0.01,0.15,1.68,78,58,8,301
"1076","PS3",2008,"Action",0.88,0.54,0.02,0.25,1.68,82,50,7,135
"1077","GB",1992,"Puzzle",0.59,0.24,0.82,0.03,1.68,NA,NA,NA,NA
"1078","PS",1997,"Shooter",0.38,0.87,0.33,0.1,1.68,NA,NA,NA,NA
"1079","PC",2010,"Strategy",0.98,0.52,0,0.17,1.68,90,70,7,2280
"1080","3DS",2015,"Role-Playing",0.81,0.23,0.52,0.11,1.68,NA,NA,NA,NA
"1081","PC",2003,"Simulation",1.67,0,0,0,1.68,79,20,8,25
"1082","GBA",2002,"Action",1.18,0.27,0.17,0.06,1.68,92,44,9,200
"1083","Wii",2008,"Sports",0.97,0.4,0.14,0.15,1.67,67,32,8,12
"1084","PSP",2007,"Shooter",0.9,0.46,0,0.32,1.67,73,35,7,46
"1085","PS2",2003,"Sports",0.93,0.52,0,0.22,1.67,93,41,9,125
"1086","PS",2000,"Sports",1.58,0.05,0,0.04,1.67,90,14,6,4
"1087","XB",2005,"Shooter",1.22,0.39,0,0.06,1.67,83,40,8,106
"1088","NES",1989,"Platform",0.91,0.3,0.42,0.04,1.67,NA,NA,NA,NA
"1089","PS",2001,"Sports",1.09,0.49,0.02,0.07,1.67,87,10,8,36
"1090","GBA",2001,"Adventure",0.59,0.95,0.03,0.1,1.67,NA,NA,NA,NA
"1091","XB",2003,"Racing",0.97,0.59,0.04,0.07,1.67,NA,NA,NA,NA
"1092","PS3",2009,"Role-Playing",0.96,0.42,0.08,0.21,1.67,87,41,7,597
"1093","PS2",2001,"Racing",1.13,0.32,0,0.22,1.67,84,28,7,13
"1094","PS2",2003,"Sports",1.35,0.09,0,0.23,1.67,94,15,8,81
"1095","PS3",2006,"Fighting",0.81,0.58,0.01,0.26,1.67,83,37,7,24
"1096","PC",2013,"Strategy",0.83,0.66,0,0.18,1.67,86,68,7,1346
"1097","PS2",2003,"Platform",1.08,0.45,0,0.14,1.67,71,9,9,85
"1098","PS4",2015,"Adventure",0.45,0.9,0.05,0.26,1.66,79,103,8,2161
"1099","Wii",2008,"Sports",0.45,1.02,0,0.2,1.66,44,17,8,41
"1100","GEN",1992,"Fighting",1,0.3,0.31,0.04,1.66,NA,NA,NA,NA
"1101","PS2",2000,"Sports",0.78,0.61,0.06,0.2,1.66,93,35,8,33
"1102","Wii",2008,"Sports",0.93,0.56,0,0.16,1.66,78,28,8,22
"1103","PS2",2004,"Sports",0.81,0.63,0,0.21,1.66,83,44,9,19
"1104","X360",2013,"Action",1.01,0.5,0.01,0.13,1.66,81,42,6,325
"1105","PS2",2002,"Sports",1.25,0.15,0.03,0.22,1.66,83,22,8,28
"1106","X360",2012,"Action",0.9,0.61,0,0.15,1.66,79,59,7,114
"1107","PS2",2005,"Fighting",0.96,0.12,0.54,0.04,1.66,72,29,8,71
"1108","PS4",2016,"Role-Playing",0.65,0.45,0.34,0.22,1.65,89,69,8,1940
"1109","2600",1981,"Puzzle",1.54,0.1,0,0.02,1.65,NA,NA,NA,NA
"1110","Wii",2011,"Platform",0.58,0.21,0.79,0.07,1.65,77,49,8,156
"1111","GC",2004,"Misc",0.9,0.11,0.6,0.05,1.65,71,33,7,51
"1112","SNES",1991,"Shooter",1.06,0.38,0.15,0.05,1.65,NA,NA,NA,NA
"1113","Wii",2008,"Action",1.21,0.3,0,0.14,1.65,56,24,6,18
"1114","X360",2006,"Racing",0.76,0.69,0.02,0.18,1.65,77,52,6,82
"1115","PS3",2007,"Action",0.57,0.72,0.06,0.29,1.65,79,64,8,544
"1116","PS2",2004,"Role-Playing",0,0,1.65,0,1.65,NA,NA,NA,NA
"1117","Wii",2007,"Simulation",0.9,0.54,0.04,0.17,1.65,68,38,7,56
"1118","GBA",2004,"Platform",0.8,0.05,0.76,0.03,1.64,NA,NA,NA,NA
"1119","X360",2008,"Shooter",1.09,0.37,0.02,0.16,1.64,72,76,7,233
"1120","2600",1982,"Puzzle",1.52,0.1,0,0.02,1.64,NA,NA,NA,NA
"1121","PS",1999,"Shooter",0.93,0.63,0,0.08,1.64,NA,NA,NA,NA
"1122","NES",1986,"Action",0.74,0.26,0.61,0.03,1.64,NA,NA,NA,NA
"1123","PS2",2002,"Sports",0.8,0.63,0,0.21,1.64,88,18,8,18
"1124","PS2",2005,"Sports",1.44,0.15,0,0.05,1.64,NA,NA,NA,NA
"1125","PS2",2004,"Action",0.54,0.88,0,0.22,1.64,83,51,8,120
"1126","XOne",2014,"Shooter",0.8,0.69,0.01,0.14,1.63,82,15,7,383
"1127","XB",2004,"Sports",1.54,0.02,0,0.07,1.63,92,42,9,93
"1128","PS3",2013,"Adventure",0.52,0.8,0.06,0.26,1.63,70,98,8,2652
"1129","GC",2001,"Strategy",0.78,0.25,0.56,0.04,1.63,89,39,8,121
"1130","PS2",2003,"Sports",1.18,0.34,0,0.1,1.63,89,23,8,40
"1131","X360",2014,"Sports",1.35,0.11,0,0.17,1.63,NA,NA,3,40
